GeneSymbol	chr	NSNP	Case+	Case-	Normal+	Normal-	OR	P	Beta	P
ABCD4	chr14	1	0	137	0	105	1	1	NA	NA
ABHD12B	chr14	1	0	137	0	105	1	1	NA	NA
ACOT2	chr14	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
ACOT4	chr14	1	0	137	0	105	1	1	NA	NA
AKT1	chr14	2	0	137	0	105	1	1	NA	NA
ANGEL1	chr14	1	0	137	0	105	1	1	NA	NA
AP1G2	chr14	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
APEX1	chr14	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
AREL1	chr14	1	7	130	7	98	0.753981328940143	0.786526186647481	-0.503945702740009	0.61483209564485
ARID4A	chr14	1	0	137	0	105	1	1	NA	NA
ASB2	chr14	1	6	131	7	98	0.64141689373297	0.857402610377868	-0.7597499511023	0.44830583255966
ATXN3	chr14	1	5	132	6	99	0.625236593059937	0.858657302789298	-0.740872926924136	0.459655700806578
BAZ1A	chr14	1	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
BEGAIN	chr14	1	4	133	3	102	1.02252816020025	0.643863582595547	0.0286980430488565	0.977130860743259
C14orf105	chr14	1	0	137	0	105	1	1	NA	NA
C14orf159	chr14	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
C14orf177	chr14	1	0	137	0	105	1	1	NA	NA
C14orf180	chr14	2	0	137	0	105	1	1	NA	NA
C14orf2	chr14	1	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
CEP128	chr14	1	0	137	0	105	1	1	NA	NA
CHMP4A	chr14	1	0	137	0	105	1	1	NA	NA
CHURC1	chr14	1	0	137	0	105	1	1	NA	NA
CLMN	chr14	1	4	133	2	103	1.54784240150094	0.47360498811853	0.515209133984609	0.606882788763552
CMA1	chr14	1	0	137	0	105	1	1	NA	NA
DHRS1	chr14	2	0	137	1	104	0.00363636363636364	1	-1	0.319631547615766
DHRS4	chr14	1	1	136	2	103	0.379816513761468	0.919644388052536	-0.769757475987611	0.442552343492799
DHRS4L2	chr14	2	1	136	1	104	0.765567765567766	0.812763622646686	-0.18538968716717	0.853104613091126
EFCAB11	chr14	1	0	137	0	105	1	1	NA	NA
EXOC5	chr14	1	0	137	0	105	1	1	NA	NA
FAM179B	chr14	1	0	137	0	105	1	1	NA	NA
